timestamp,tripId,tripTime,routeId,day,direction,timeToReachExpressStation,timeToReachDestination
1380,108100_3..S01R,108100,3,Thursday,S,1519946100,1519946580
1380,108900_3..S01R,108900,3,Thursday,S,1519946580,1519947060
1380,109200_3..N01R,109200,3,Thursday,N,,
1380,109800_3..S01R,109800,3,Thursday,S,1519947090,1519947570
1380,109800_3..N01R,109800,3,Thursday,N,,
1380,110600_3..S01R,110600,3,Thursday,S,1519947570,1519948050
1380,110700_3..N01R,110700,3,Thursday,N,,
1382,102600_1..S,102600,1,Thursday,S,,
1382,102400_1..N03R,102400,1,Thursday,N,,
1382,102800_1..N03R,102800,1,Thursday,N,,
1382,103000_1..S03R,103000,1,Thursday,S,,
1382,103200_1..N03R,103200,1,Thursday,N,,
1382,103550_1..S04R,103550,1,Thursday,S,,
1382,103600_1..N03R,103600,1,Thursday,N,,
1382,103700_1..S03R,103700,1,Thursday,S,,
1382,104000_1..N03R,104000,1,Thursday,N,,
1382,104150_1..S03R,104150,1,Thursday,S,,
1382,104400_1..N03R,104400,1,Thursday,N,,
1382,104600_1..S03R,104600,1,Thursday,S,,1519945603
1382,104800_1..N03R,104800,1,Thursday,N,,
1382,105050_1..S03R,105050,1,Thursday,S,,1519945705
1382,105200_1..N03R,105200,1,Thursday,N,,
1382,105500_1..S03R,105500,1,Thursday,S,,1519945962
1382,105550_1..N03R,105550,1,Thursday,N,,
1382,105900_1..N03R,105900,1,Thursday,N,,
1382,105950_1..S03R,105950,1,Thursday,S,1519945609,1519946299
1382,106250_1..N03R,106250,1,Thursday,N,,
1382,106400_1..S03R,106400,1,Thursday,S,1519945926,1519946616
1382,106600_1..N03R,106600,1,Thursday,N,,
1382,106850_1..N03R,106850,1,Thursday,N,,
1382,106900_1..S03R,106900,1,Thursday,S,1519946267,1519946957
1382,107300_1..N03R,107300,1,Thursday,N,,
1382,107400_1..S03R,107400,1,Thursday,S,1519946541,1519947231
1382,107650_1..N03R,107650,1,Thursday,N,,
1382,107900_1..S03R,107900,1,Thursday,S,1519946766,1519947456
1382,108000_1..N03R,108000,1,Thursday,N,,
1382,108300_1..S03R,108300,1,Thursday,S,1519946970,1519947660
1382,108400_1..N03R,108400,1,Thursday,N,,
1382,108750_1..S03R,108750,1,Thursday,S,1519947240,1519947930
1382,108900_1..N03R,108900,1,Thursday,N,,
1382,109150_1..S03R,109150,1,Thursday,S,1519947480,1519948170
1382,109300_1..N03R,109300,1,Thursday,N,,
1382,109600_1..S03R,109600,1,Thursday,S,1519947750,1519948440
1382,109700_1..N03R,109700,1,Thursday,N,,
1382,110050_1..S03R,110050,1,Thursday,S,1519948020,1519948710
1382,110100_1..N03R,110100,1,Thursday,N,,
1382,110450_1..S03R,110450,1,Thursday,S,1519948260,1519948950
1382,110500_1..N03R,110500,1,Thursday,N,,
1382,110900_1..S03R,110900,1,Thursday,S,1519948530,1519949220
1382,111000_1..N03R,111000,1,Thursday,N,,
1382,111350_1..S03R,111350,1,Thursday,S,1519948800,1519949490
1382,111400_1..N03R,111400,1,Thursday,N,,
1382,096650_2..N03R,096650,2,Thursday,N,,
1382,098050_2..S01R,098050,2,Thursday,S,,
1382,098150_2..N01R,098150,2,Thursday,N,,
